Entity,Code,Year,"Civil liberties index (best estimate, aggregate: average)"
Germany,DEU,1906,0.645
Germany,DEU,1907,0.645
Germany,DEU,1908,0.646
Germany,DEU,1909,0.648
Germany,DEU,1910,0.648
Germany,DEU,1911,0.651
Germany,DEU,1912,0.653
Germany,DEU,1913,0.651
Germany,DEU,1914,0.595
Germany,DEU,1915,0.58
Germany,DEU,1916,0.572
Germany,DEU,1917,0.575
Germany,DEU,1918,0.579
Germany,DEU,1919,0.748
Germany,DEU,1920,0.762
Germany,DEU,1921,0.762
Germany,DEU,1922,0.758
Germany,DEU,1923,0.753
Germany,DEU,1924,0.757
Germany,DEU,1925,0.754
Germany,DEU,1926,0.758
Germany,DEU,1927,0.758
Germany,DEU,1928,0.758
Germany,DEU,1929,0.759
Germany,DEU,1930,0.745
Germany,DEU,1931,0.745
Germany,DEU,1932,0.725
Germany,DEU,1933,0.186
Germany,DEU,1934,0.055
Germany,DEU,1935,0.051
Germany,DEU,1936,0.05
Germany,DEU,1937,0.049
Germany,DEU,1938,0.044
Germany,DEU,1939,0.033
Germany,DEU,1940,0.032
Germany,DEU,1941,0.032
Germany,DEU,1942,0.031
Germany,DEU,1943,0.031
Germany,DEU,1944,0.031
Germany,DEU,1991,0.968
Germany,DEU,1992,0.968
Germany,DEU,1993,0.968
Germany,DEU,1994,0.968
Germany,DEU,1995,0.968
Germany,DEU,1996,0.968
Germany,DEU,1997,0.968
Germany,DEU,1998,0.968
Germany,DEU,1999,0.968
Germany,DEU,2000,0.968
Germany,DEU,2001,0.968
Germany,DEU,2002,0.968
Germany,DEU,2003,0.968
Germany,DEU,2004,0.968
Germany,DEU,2005,0.968
Germany,DEU,2006,0.969
Germany,DEU,2007,0.969
Germany,DEU,2008,0.969
Germany,DEU,2009,0.968
Germany,DEU,2010,0.968
Germany,DEU,2011,0.968
Germany,DEU,2012,0.967
Germany,DEU,2013,0.964
Germany,DEU,2014,0.964
Germany,DEU,2015,0.963
Germany,DEU,2016,0.964
Germany,DEU,2017,0.962
Germany,DEU,2018,0.961
Germany,DEU,2019,0.962
Germany,DEU,2020,0.955
Germany,DEU,2021,0.954
Germany,DEU,2022,0.951
Germany,DEU,2023,0.951
Germany,DEU,2024,0.941
Italy,ITA,1900,0.684
Italy,ITA,1901,0.701
Italy,ITA,1902,0.7
Italy,ITA,1903,0.7
Italy,ITA,1904,0.7
Italy,ITA,1905,0.705
Italy,ITA,1906,0.705
Italy,ITA,1907,0.705
Italy,ITA,1908,0.705
Italy,ITA,1909,0.705
Italy,ITA,1910,0.705
Italy,ITA,1911,0.707
Italy,ITA,1912,0.708
Italy,ITA,1913,0.707
Italy,ITA,1914,0.695
Italy,ITA,1915,0.655
Italy,ITA,1916,0.645
Italy,ITA,1917,0.642
Italy,ITA,1918,0.639
Italy,ITA,1919,0.686
Italy,ITA,1920,0.689
Italy,ITA,1921,0.689
Italy,ITA,1922,0.578
Italy,ITA,1923,0.369
Italy,ITA,1924,0.32
Italy,ITA,1925,0.22
Italy,ITA,1926,0.19
Italy,ITA,1927,0.188
Italy,ITA,1928,0.185
Italy,ITA,1929,0.179
Italy,ITA,1930,0.185
Italy,ITA,1931,0.183
Italy,ITA,1932,0.182
Italy,ITA,1933,0.182
Italy,ITA,1934,0.182
Italy,ITA,1935,0.182
Italy,ITA,1936,0.182
Italy,ITA,1937,0.182
Italy,ITA,1938,0.175
Italy,ITA,1939,0.169
Italy,ITA,1940,0.169
Italy,ITA,1941,0.169
Italy,ITA,1942,0.169
Italy,ITA,1943,0.176
Italy,ITA,1944,0.427
Italy,ITA,1945,0.426
Italy,ITA,1946,0.709
Italy,ITA,1947,0.801
Italy,ITA,1948,0.831
Italy,ITA,1949,0.833
Italy,ITA,1950,0.834
Italy,ITA,1951,0.834
Italy,ITA,1952,0.834
Italy,ITA,1953,0.834
Italy,ITA,1954,0.834
Italy,ITA,1955,0.834
Italy,ITA,1956,0.845
Italy,ITA,1957,0.845
Italy,ITA,1958,0.845
Italy,ITA,1959,0.845
Italy,ITA,1960,0.847
Italy,ITA,1961,0.852
Italy,ITA,1962,0.858
Italy,ITA,1963,0.872
Italy,ITA,1964,0.872
Italy,ITA,1965,0.872
Italy,ITA,1966,0.872
Italy,ITA,1967,0.872
Italy,ITA,1968,0.875
Italy,ITA,1969,0.876
Italy,ITA,1970,0.879
Italy,ITA,1971,0.882
Italy,ITA,1972,0.882
Italy,ITA,1973,0.881
Italy,ITA,1974,0.881
Italy,ITA,1975,0.881
Italy,ITA,1976,0.893
Italy,ITA,1977,0.9
Italy,ITA,1978,0.9
Italy,ITA,1979,0.9
Italy,ITA,1980,0.922
Italy,ITA,1981,0.928
Italy,ITA,1982,0.928
Italy,ITA,1983,0.928
Italy,ITA,1984,0.932
Italy,ITA,1985,0.932
Italy,ITA,1986,0.932
Italy,ITA,1987,0.932
Italy,ITA,1988,0.932
Italy,ITA,1989,0.932
Italy,ITA,1990,0.932
Italy,ITA,1991,0.936
Italy,ITA,1992,0.934
Italy,ITA,1993,0.934
Italy,ITA,1994,0.935
Italy,ITA,1995,0.935
Italy,ITA,1996,0.935
Italy,ITA,1997,0.935
Italy,ITA,1998,0.935
Italy,ITA,1999,0.935
Italy,ITA,2000,0.934
Italy,ITA,2001,0.933
Italy,ITA,2002,0.934
Italy,ITA,2003,0.934
Italy,ITA,2004,0.934
Italy,ITA,2005,0.936
Italy,ITA,2006,0.937
Italy,ITA,2007,0.938
Italy,ITA,2008,0.932
Italy,ITA,2009,0.936
Italy,ITA,2010,0.937
Italy,ITA,2011,0.937
Italy,ITA,2012,0.939
Italy,ITA,2013,0.924
Italy,ITA,2014,0.924
Italy,ITA,2015,0.924
Italy,ITA,2016,0.927
Italy,ITA,2017,0.935
Italy,ITA,2018,0.931
Italy,ITA,2019,0.934
Italy,ITA,2020,0.91
Italy,ITA,2021,0.913
Italy,ITA,2022,0.924
Italy,ITA,2023,0.912
Italy,ITA,2024,0.911
Mexico,MEX,1900,0.31
Mexico,MEX,1901,0.31
Mexico,MEX,1902,0.31
Mexico,MEX,1903,0.31
Mexico,MEX,1904,0.31
Mexico,MEX,1905,0.31
Mexico,MEX,1906,0.31
Mexico,MEX,1907,0.31
Mexico,MEX,1908,0.31
Mexico,MEX,1909,0.31
Mexico,MEX,1910,0.305
Mexico,MEX,1911,0.35
Mexico,MEX,1912,0.358
Mexico,MEX,1913,0.28
Mexico,MEX,1914,0.269
Mexico,MEX,1915,0.29
Mexico,MEX,1916,0.316
Mexico,MEX,1917,0.324
Mexico,MEX,1918,0.328
Mexico,MEX,1919,0.332
Mexico,MEX,1920,0.334
Mexico,MEX,1921,0.367
Mexico,MEX,1922,0.367
Mexico,MEX,1923,0.36
Mexico,MEX,1924,0.36
Mexico,MEX,1925,0.345
Mexico,MEX,1926,0.32
Mexico,MEX,1927,0.32
Mexico,MEX,1928,0.32
Mexico,MEX,1929,0.343
Mexico,MEX,1930,0.398
Mexico,MEX,1931,0.398
Mexico,MEX,1932,0.404
Mexico,MEX,1933,0.403
Mexico,MEX,1934,0.415
Mexico,MEX,1935,0.436
Mexico,MEX,1936,0.436
Mexico,MEX,1937,0.436
Mexico,MEX,1938,0.442
Mexico,MEX,1939,0.464
Mexico,MEX,1940,0.487
Mexico,MEX,1941,0.473
Mexico,MEX,1942,0.473
Mexico,MEX,1943,0.473
Mexico,MEX,1944,0.473
Mexico,MEX,1945,0.473
Mexico,MEX,1946,0.475
Mexico,MEX,1947,0.473
Mexico,MEX,1948,0.468
Mexico,MEX,1949,0.473
Mexico,MEX,1950,0.473
Mexico,MEX,1951,0.473
Mexico,MEX,1952,0.471
Mexico,MEX,1953,0.479
Mexico,MEX,1954,0.488
Mexico,MEX,1955,0.488
Mexico,MEX,1956,0.488
Mexico,MEX,1957,0.488
Mexico,MEX,1958,0.479
Mexico,MEX,1959,0.471
Mexico,MEX,1960,0.479
Mexico,MEX,1961,0.479
Mexico,MEX,1962,0.479
Mexico,MEX,1963,0.479
Mexico,MEX,1964,0.465
Mexico,MEX,1965,0.465
Mexico,MEX,1966,0.465
Mexico,MEX,1967,0.469
Mexico,MEX,1968,0.463
Mexico,MEX,1969,0.476
Mexico,MEX,1970,0.492
Mexico,MEX,1971,0.492
Mexico,MEX,1972,0.497
Mexico,MEX,1973,0.497
Mexico,MEX,1974,0.497
Mexico,MEX,1975,0.493
Mexico,MEX,1976,0.503
Mexico,MEX,1977,0.562
Mexico,MEX,1978,0.572
Mexico,MEX,1979,0.572
Mexico,MEX,1980,0.575
Mexico,MEX,1981,0.579
Mexico,MEX,1982,0.58
Mexico,MEX,1983,0.58
Mexico,MEX,1984,0.58
Mexico,MEX,1985,0.58
Mexico,MEX,1986,0.58
Mexico,MEX,1987,0.581
Mexico,MEX,1988,0.582
Mexico,MEX,1989,0.599
Mexico,MEX,1990,0.603
Mexico,MEX,1991,0.612
Mexico,MEX,1992,0.625
Mexico,MEX,1993,0.636
Mexico,MEX,1994,0.649
Mexico,MEX,1995,0.666
Mexico,MEX,1996,0.666
Mexico,MEX,1997,0.671
Mexico,MEX,1998,0.682
Mexico,MEX,1999,0.685
Mexico,MEX,2000,0.712
Mexico,MEX,2001,0.713
Mexico,MEX,2002,0.713
Mexico,MEX,2003,0.713
Mexico,MEX,2004,0.713
Mexico,MEX,2005,0.713
Mexico,MEX,2006,0.685
Mexico,MEX,2007,0.696
Mexico,MEX,2008,0.693
Mexico,MEX,2009,0.695
Mexico,MEX,2010,0.684
Mexico,MEX,2011,0.686
Mexico,MEX,2012,0.69
Mexico,MEX,2013,0.681
Mexico,MEX,2014,0.674
Mexico,MEX,2015,0.692
Mexico,MEX,2016,0.689
Mexico,MEX,2017,0.702
Mexico,MEX,2018,0.724
Mexico,MEX,2019,0.712
Mexico,MEX,2020,0.698
